file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/util/ApplicationContextHolder.java,org.broadleafcommerce.core.util.ApplicationContextHolder,class,2,2,1,0,0,1.0,1.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/util/domain/CodeTypeImpl.java,org.broadleafcommerce.core.util.domain.CodeTypeImpl,class,10,40,1,8,26,0.33333334,0.84615386,13,0,13,0,0,0,13,0,0,0,6,1,1,0,5,0,1,0,0,84,22,0,21,0,10,13,9,15,10,9,2,0,0,0,40,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/util/domain/CodeType.java,org.broadleafcommerce.core.util.domain.CodeType,interface,0,11,1,0,55,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/payment/dao/PaymentInfoDao.java,org.broadleafcommerce.core.payment.dao.PaymentInfoDao,interface,5,9,1,0,36,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/payment/dao/PaymentInfoDaoImpl.java,org.broadleafcommerce.core.payment.dao.PaymentInfoDaoImpl,class,13,10,1,12,0,0.5833333,1.0,9,0,9,0,0,0,9,0,0,0,2,0,0,0,2,0,0,0,0,36,8,0,0,0,3,10,0,2,0,3,1,0,0,0,30,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/payment/dao/SecurePaymentInfoDao.java,org.broadleafcommerce.core.payment.dao.SecurePaymentInfoDao,interface,4,8,1,0,28,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/payment/dao/SecurePaymentInfoDaoImpl.java,org.broadleafcommerce.core.payment.dao.SecurePaymentInfoDaoImpl,class,13,18,1,13,0,0.78571427,1.0,8,0,8,0,0,0,8,0,0,0,3,0,0,0,3,0,0,0,0,59,7,0,9,0,3,16,6,13,0,15,1,0,0,0,34,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/payment/service/SecurePaymentInfoServiceImpl.java,org.broadleafcommerce.core.payment.service.SecurePaymentInfoServiceImpl,class,11,18,1,14,0,0.53571427,0.53571427,8,0,5,0,3,0,8,0,0,0,1,0,0,0,1,0,0,0,0,63,12,0,7,0,0,5,0,7,3,8,2,0,0,0,80,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/payment/service/module/PaymentModule.java,org.broadleafcommerce.core.payment.service.module.PaymentModule,interface,3,8,1,0,28,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/payment/service/module/AbstractModule.java,org.broadleafcommerce.core.payment.service.module.AbstractModule,class,4,1,1,1,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,11,1025,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/payment/service/module/PaymentResponseImpl.java,org.broadleafcommerce.core.payment.service.module.PaymentResponseImpl,class,5,3,1,2,0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/payment/service/module/PaymentResponse.java,org.broadleafcommerce.core.payment.service.module.PaymentResponse,interface,3,3,1,0,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/payment/service/module/DefaultModule.java,org.broadleafcommerce.core.payment.service.module.DefaultModule,class,5,8,2,0,28,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,7,0,0,0,0,0,0,0,0,26,1,0
/Users/benjaminadolphe/Desktop/fac/M2/S1 - local/HAI916I-IA-pour-le-génie-logiciel/Perez/TP/TP1/ck_metrics/../BroadleafCommerce/core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/payment/service/PaymentContext.java,org.broadleafcommerce.core.payment.service.PaymentContext,interface,3,7,1,0,21,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
